REF_DATE,GEO,DGUID,Immigrant status,Labour force characteristics,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006,Atlantic region,2011A00011,Landed immigrants,Employment rate,25 to 54 years,Percentage,242,units ,0,v53037575,2.2.10.2,80,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Population,15 years and over,Persons,249,thousands,3,v53037576,2.3.1.1,8.2,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Population,25 to 54 years,Persons,249,thousands,3,v53037577,2.3.1.2,5.7,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Labour force,15 years and over,Persons,249,thousands,3,v53037578,2.3.2.1,5.2,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Labour force,25 to 54 years,Persons,249,thousands,3,v53037579,2.3.2.2,4.2,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Employment,15 years and over,Persons,249,thousands,3,v53037580,2.3.3.1,4.7,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Employment,25 to 54 years,Persons,249,thousands,3,v53037581,2.3.3.2,3.8,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Full-time employment,15 years and over,Persons,249,thousands,3,v53037582,2.3.4.1,3.6,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Full-time employment,25 to 54 years,Persons,249,thousands,3,v53037583,2.3.4.2,3.1,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Part-time employment,15 years and over,Persons,249,thousands,3,v53037584,2.3.5.1,1.1,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Part-time employment,25 to 54 years,Persons,249,thousands,3,v53037585,2.3.5.2,0.6,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Unemployment,15 years and over,Persons,249,thousands,3,v53037586,2.3.6.1,0.5,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Unemployment,25 to 54 years,Persons,249,thousands,3,v53037587,2.3.6.2,,x,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Not in labour force,15 years and over,Persons,249,thousands,3,v53037588,2.3.7.1,3,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Not in labour force,25 to 54 years,Persons,249,thousands,3,v53037589,2.3.7.2,1.5,,,,1
2006,Atlantic region,2011A00011,"Immigrants, landed 5 or less years earlier",Unemployment rate,15 years and over,Percentage,242,units ,0,v53037590,2.3.8.1,9.6,,,,1
